code,label,description,icon,icon-day,icon-night,notes
200,Thunderstorm,thunderstorm with light rain,11,11d,11n,
201,Thunderstorm,thunderstorm with rain,11,11d,11n,
202,Thunderstorm,thunderstorm with heavy rain,11,11d,11n,
210,Thunderstorm,light thunderstorm,11,11d,11n,
211,Thunderstorm,thunderstorm,11,11d,11n,
212,Thunderstorm,heavy thunderstorm,11,11d,11n,
221,Thunderstorm,ragged thunderstorm,11,11d,11n,
230,Thunderstorm,thunderstorm with light drizzle,11,11d,11n,
231,Thunderstorm,thunderstorm with drizzle,11,11d,11n,
232,Thunderstorm,thunderstorm with heavy drizzle,11,11d,11n,
300,Drizzle,light intensity drizzle,09,09d,09n,
301,Drizzle,drizzle,09,09d,09n,
302,Drizzle,heavy intensity drizzle,09,09d,09n,
310,Drizzle,light intensity drizzle rain,09,09d,09n,
311,Drizzle,drizzle rain,09,09d,09n,
312,Drizzle,heavy intensity drizzle rain,09,09d,09n,
313,Drizzle,shower rain and drizzle,09,09d,09n,
314,Drizzle,heavy shower rain and drizzle,09,09d,09n,
321,Drizzle,shower drizzle,09,09d,09n,
500,Rain,light rain,10,10d,10n,
501,Rain,moderate rain,10,10d,10n,
502,Rain,heavy intensity rain,10,10d,10n,
503,Rain,very heavy rain,10,10d,10n,
504,Rain,extreme rain,10,10d,10n,
511,Rain,freezing rain,13,13d,13n,
520,Rain,light intensity shower rain,09,09d,09n,
521,Rain,shower rain,09,09d,09n,
522,Rain,heavy intensity shower rain,09,09d,09n,
531,Rain,ragged shower rain,09,09d,09n,
600,Snow,light snow,13,13d,13n,
601,Snow,snow,13,13d,13n,
602,Snow,heavy snow,13,13d,13n,
611,Snow,sleet,13,13d,13n,
612,Snow,light shower sleet,13,13d,13n,
613,Snow,shower sleet,13,13d,13n,
615,Snow,light rain and snow,13,13d,13n,
616,Snow,rain and snow,13,13d,13n,
620,Snow,light shower snow,13,13d,13n,
621,Snow,shower snow,13,13d,13n,
622,Snow,heavy shower snow,13,13d,13n,
701,Mist,mist,50,50d,50n,
711,Smoke,smoke,50,50d,50n,
721,Haze,haze,50,50d,50n,
731,Dust,sand/dust whirls,50,50d,50n,
741,Fog,fog,50,50d,50n,
751,Sand,sand,50,50d,50n,
761,Dust,dust,50,50d,50n,
762,Ash,volcanic ash,50,50d,50n,
771,Squall,squalls,50,50d,50n,
781,Tornado,tornado,50,50d,50n,
800,Clear,clear sky,01,01d,01n,
801,Clouds,few clouds: 11-25%,02,02d,02n,
802,Clouds,scattered clouds: 25-50%,03,03d,03n,
803,Clouds,broken clouds: 51-84%,04,04d,04n,
804,Clouds,overcast clouds: 85-100%,04,04d,04n,should this be 05d?
